Address,City,County,Id,License,State,Structure Type,Latitude,Longitude,Structure
1474 STIREWALT ST,DELTA JUNCTION,SOUTHEAST FAIRBANKS,392,AT&T,AK,LTOWER,64.037444444,-145.729638889,96
9100 Sand Lake Road (120378),Anchorage,ANCHORAGE,24839,AT&T,AK,MTOWER,61.144527778,-149.981222222,29
Mi. 18 Hope Hwy   (94001),Hope,KENAI PENINSULA,24838,AT&T,AK,LTOWER,60.927472222,-149.659944444,41.2
MILE MARKER 301 RICHARDSON HIGHWAY,SALCHA,FAIRBANKS NORTH STAR,391,AT&T,AK,LTOWER,64.302888889,-146.550944444,55.2
"Harbor Loop, Block 1, Lot 10 (94050)",Whittier,VALDEZ-CORDOVA,24837,AT&T,AK,LTOWER,60.777805556,-148.694972222,21.6
MILEPOST 45 SEWARD HIGHWAY (101358),Moose Lake,KENAI PENINSULA,24852,AT&T,AK,LTOWER,60.637138889,-149.485,15.2
B Street (94044),Tyonek,KENAI PENINSULA,20502,AT&T,AK,LTOWER,61.07025,-151.141666667,31.7
MP 126.5 RICHARDSON HWY (112127),GAKONA,VALDEZ-CORDOVA,20501,AT&T,AK,LTOWER,62.270277778,-145.409972222,57.9
MILEPOST 45 SEWARD HIGHWAY (101358),Moose Lake,KENAI PENINSULA,20500,AT&T,AK,LTOWER,60.637138889,-149.485,15.2
MP 40 Alaska Railroad (101387),Moose Pass,KENAI PENINSULA,20499,AT&T,AK,LTOWER,60.561222222,-149.14175,26.2
"NW S14, T11N, R11W (101375)",TYONEK,KENAI PENINSULA,20498,AT&T,AK,LTOWER,61.046333333,-151.183333333,54
SW 1/4 S27 T22S R11W (101383),Talkeetna,MATANUSKA-SUSITNA,20497,AT&T,AK,LTOWER,62.976861111,-149.637805556,75.9
MP 40 Alaska Railroad (101387),Moose Pass,KENAI PENINSULA,24851,AT&T,AK,LTOWER,60.561222222,-149.14175,26.2
"SEC32,TS31,SR W OF SEWARD MERIDIAN (100235)",Kodiak,KODIAK ISLAND,46295,AT&T,AK,MTOWER,57.4445,-152.3745,32.9
MP 51 Alaska Railroad (101389),Moose Pass,KENAI PENINSULA,24850,AT&T,AK,LTOWER,60.663833333,-149.043722222,15.2
22302 West Johnny Parks Drive (110443),WASILLA,MATANUSKA-SUSITNA,24849,AT&T,AK,LTOWER,61.431694444,-149.997944444,121.9
E. Palmer-Wasilla Highway (94028),Palmer,MATANUSKA-SUSITNA,24848,AT&T,AK,MTOWER,61.599694444,-149.187972222,30.4
W. Zero Lake Road (94002),Houston,MATANUSKA-SUSITNA,24847,AT&T,AK,LTOWER,61.639777778,-149.848527778,59.1
0.25 MILES OFF THE END OF KOPPENBERG ROAD (94020),PALMER,MATANUSKA-SUSITNA,24846,AT&T,AK,GTOWER,61.621111111,-149.023333333,31.7
17 mile Chena Hot Springs Road,Fairbanks,FAIRBANKS NORTH STAR,390,AT&T,AK,LTOWER,64.87075,-147.099944444,41.2
Nenana Cell Site,Nenana,YUKON-KOYUKUK,389,AT&T,AK,LTOWER,64.577277778,-149.080611111,42.7
MP 202.2 Richardson HWY,DELTA JUNCTION,SOUTHEAST FAIRBANKS,388,AT&T,AK,LTOWER,63.238194444,-145.648527778,47.2
.8 KM NE OF   (93948),CANTWELL,DENALI,387,AT&T,AK,GTOWER,63.400555556,-148.94,21.6
MP 249 Richardson Hwy,DELTA JUNCTION,SOUTHEAST FAIRBANKS,386,AT&T,AK,LTOWER,63.78725,-145.863277778,71.9
NSN Orchid Drive,SALCHA,FAIRBANKS NORTH STAR,385,AT&T,AK,LTOWER,64.409527778,-146.955861111,83.5
